Currency,Ticker,Date,Tenor,Bid Rate
MYR,MRDR1T Curncy,09/09/2020 00:00:00,Overnight,1.7
MYR,MRDR1Z Curncy,09/09/2020 00:00:00,1 Week,1.77
MYR,MRDR2Z Curncy,09/09/2020 00:00:00,2 Weeks,1.78
MYR,KLIB1M Index,09/09/2020 00:00:00,1 MO,1.88
MYR,KLIB2M Index,09/09/2020 00:00:00,2 MO,1.93
MYR,KLIB3M Index,09/09/2020 00:00:00,3 MO,1.98
MYR,KLIB6M Index,09/09/2020 00:00:00,6 MO,2.13
MYR,MRSWQ01 CMPN Curncy,09/09/2020 00:00:00,12 MO,1.873
MYR,MRSWQ02 CMPN Curncy,09/09/2020 00:00:00,2 YR,1.8994
MYR,MRSWQ03 CMPN Curncy,09/09/2020 00:00:00,3 YR,1.9299
MYR,MRSWQ04 CMPN Curncy,09/09/2020 00:00:00,4 YR,2.01
MYR,MRSWQ05 CMPN Curncy,09/09/2020 00:00:00,5 YR,2.14
MYR,MRSWQ07 CMPN Curncy,09/09/2020 00:00:00,7 YR,2.3
MYR,MRSWQ010 CMPN Curncy,09/09/2020 00:00:00,10 YR,2.53
MYR,MRSWQ015 CMPN Curncy,09/09/2020 00:00:00,15 YR,2.75
MYR,MRSWQ020 CMPN Curncy,09/09/2020 00:00:00,20 YR,2.95
